Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2021,Week 7,FINAL,SUN,10/24,Jets,1-5,13.0,0.0,Patriots,3-4,54.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Chiefs,3-4,3.0,0.0,Titans,5-2,27.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Football Team,2-5,10.0,0.0,Packers,6-1,24.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Falcons,3-3,30.0,1.0,Dolphins,1-6,28.0,0.0,,,0
2021,Week 7,FINAL,SUN,10/24,Bengals,5-2,41.0,1.0,Ravens,5-2,17.0,0.0,,,0
2021,Week 7,FINAL,SUN,10/24,Lions,0-7,19.0,0.0,Rams,6-1,28.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Eagles,2-5,22.0,0.0,Raiders,5-2,33.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Texans,1-6,5.0,0.0,Cardinals,7-0,31.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Bears,3-4,3.0,0.0,Buccaneers,6-1,38.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Colts,3-4,30.0,1.0,49ers,2-4,18.0,0.0,,,0
2021,Week 7,FINAL,MON,10/25,Saints,4-2,13.0,1.0,Seahawks,2-5,10.0,0.0,,,0
2021,Week 7,BYE,,,Steelers,0-0,,,,,,,,,0
2021,Week 7,BYE,,,Bills,0-0,,,,,,,,,0
2021,Week 7,BYE,,,Chargers,0-0,,,,,,,,,0
2021,Week 7,BYE,,,Jaguars,0-0,,,,,,,,,0
2021,Week 7,BYE,,,Vikings,0-0,,,,,,,,,0
2021,Week 7,BYE,,,Cowboys,0-0,,,,,,,,,0
2021,Week 8,FINAL,THU,10/28,Packers,7-1,24.0,1.0,Cardinals,7-1,21.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,Bengals,5-3,31.0,0.0,Jets,2-5,34.0,1.0,,,0
2021,Week 8,FINAL,SUN,10/31,Titans,6-2,34.0,1.0,Colts,3-5,31.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,Rams,7-1,38.0,1.0,Texans,1-7,22.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,Steelers,4-3,15.0,1.0,Browns,4-4,10.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,Eagles,3-5,44.0,1.0,Lions,0-8,6.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,49ers,3-4,33.0,1.0,Bears,3-5,22.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,Panthers,4-4,19.0,1.0,Falcons,3-4,13.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,Dolphins,1-7,11.0,0.0,Bills,5-2,26.0,1.0,,,0
2021,Week 8,FINAL,SUN,10/31,Patriots,4-4,27.0,1.0,Chargers,4-3,24.0,0.0,,,0
2021,Week 8,FINAL,SUN,10/31,Jaguars,1-6,7.0,0.0,Seahawks,3-5,31.0,1.0,,,0
2021,Week 8,FINAL,SUN,10/31,Football Team,2-6,10.0,0.0,Broncos,4-4,17.0,1.0,,,0
2021,Week 8,FINAL,SUN,10/31,Buccaneers,6-2,27.0,0.0,Saints,5-2,36.0,1.0,,,0
2021,Week 8,FINAL,SUN,10/31,Cowboys,6-1,20.0,1.0,Vikings,3-4,16.0,0.0,,,0
2021,Week 8,FINAL,MON,11/01,Giants,2-6,17.0,0.0,Chiefs,4-4,20.0,1.0,,,0
2021,Week 8,BYE,,,Ravens,0-0,,,,,,,,,0
2021,Week 8,BYE,,,Raiders,0-0,,,,,,,,,0
2021,Week 9,FINAL,THU,11/04,Jets,2-6,30.0,0.0,Colts,4-5,45.0,1.0,,,0
2021,Week 9,FINAL,SUN,11/07,Falcons,4-4,27.0,1.0,Saints,5-3,25.0,0.0,,,0
2021,Week 9,FINAL,SUN,11/07,Broncos,5-4,30.0,1.0,Cowboys,6-2,16.0,0.0,,,0
2021,Week 9,FINAL,SUN,11/07,Patriots,5-4,24.0,1.0,Panthers,4-5,6.0,0.0,,,0
2021,Week 9,FINAL,SUN,11/07,Vikings,3-5,31.0,0.0,Ravens,6-2,34.0,1.0,,,0
2021,Week 9,FINAL,SUN,11/07,Browns,5-4,41.0,1.0,Bengals,5-4,16.0,0.0,,,0
2021,Week 9,FINAL,SUN,11/07,Bills,5-3,6.0,0.0,Jaguars,2-6,9.0,1.0,,,0
2021,Week 9,FINAL,SUN,11/07,Texans,1-8,9.0,0.0,Dolphins,2-7,17.0,1.0,,,0
2021,Week 9,FINAL,SUN,11/07,Raiders,5-3,16.0,0.0,Giants,3-6,23.0,1.0,,,0
2021,Week 9,FINAL,SUN,11/07,Chargers,5-3,27.0,1.0,Eagles,3-6,24.0,0.0,,,0
2021,Week 9,FINAL,SUN,11/07,Packers,7-2,7.0,0.0,Chiefs,5-4,13.0,1.0,,,0
2021,Week 9,FINAL,SUN,11/07,Cardinals,8-1,31.0,1.0,49ers,3-5,17.0,0.0,,,0
